filename,label
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w0.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w1.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w2.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w3.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w4.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w5.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w6.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w7.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w8.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w9.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w10.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w11.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w12.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w13.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w14.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w15.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w16.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w17.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w18.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w19.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w20.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w21.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w22.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w23.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w24.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w25.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w26.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w27.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w28.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w29.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w30.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w31.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w32.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w33.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w34.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w35.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w36.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w37.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w38.png,1
/Users/wangyulin/Time Series/629/gait-phase-cnn/data/heatmaps_win200_step100/GaPt33_01_w39.png,1
